soil,hor,sand,silt,clay,R25,G25,B25,pH,EC,CaCO3,C,Ca,Mg,Na,depth
soil428,3,38,17,45,0.31,0.28,0.25,8.87,19.7,4.4,1.41,279.5,174.9,30.4,55
soil428,4,38,17,45,0.25,0.19,0.16,8.55,75.2,2.5,1.32,274.4,184.9,64.9,100
soil428,5,38,17,45,0.47,0.36,0.29,8.51,87.8,3.9,0.6,269.7,176,64.2,138
soil429,1,77,10,12,0.35,0.27,0.24,6.46,4.9,0.05,0.9,24.5,8.8,1,10
soil429,2,74,10,16,0.35,0.27,0.19,6.51,5.8,0.05,0.68,11.3,10.3,2.2,16
soil429,3,58,12,30,0.35,0.27,0.19,6.63,12.85,0.05,0.51,22.4,44.7,17.35,30
soil429,4,42,14,44,0.49,0.35,0.25,6.74,19.9,0.05,0.33,33.5,79.1,32.5,55
soil429,5,44,14,42,0.6,0.44,0.35,9.27,61,1.3,0.18,46,122.6,51.1,100
soil429,6,46,14,40,0.55,0.32,0.24,9.28,71.4,4.4,0.09,44.9,127.8,60,243
soil430,1,83,8,9,0.35,0.27,0.19,5.3,2.8,0.05,0.47,12.5,2.6,0.05,10
soil430,2,83,8,9,0.55,0.46,0.36,5.46,2.6,0.05,0.38,16.4,3.7,0.05,25
soil430,3,46,14,40,0.69,0.55,0.43,6.42,2.3,0.05,0.24,66.1,24.7,0.05,55
soil430,4,46,14,40,0.57,0.31,0.14,7.68,3.4,0.05,0.1,94.5,40.6,1,100
soil430,5,46,14,40,0.58,0.45,0.33,8.32,11.9,0.1,0.06,93.1,54.2,2.2,320
soil431,1,77,10,12,0.35,0.27,0.24,7.76,16.2,0.05,1.25,43,16.9,0.6,10
soil431,2,77,10,12,0.35,0.27,0.19,6.37,4.7,0.05,0.82,42.5,16.1,0.7,17
soil431,3,59.5,12,28,0.35,0.27,0.19,7.33,7.6,0.05,0.58,52,55.5,9.85,30
soil431,4,42,14,44,0.64,0.43,0.27,8.28,10.5,0.05,0.34,61.5,94.9,19,55
soil431,5,46,14,40,0.62,0.44,0.24,9.01,84.7,4.5,0.14,49.7,117.4,44.8,100
soil431,6,46,14,40,0.69,0.55,0.43,9.17,76.5,8.4,0.06,38.6,85.5,42.5,447
soil432,1,42,14,44,0.31,0.28,0.25,7.97,23.8,1.2,1.75,308.2,82.7,6.6,10
soil432,2,42,14,44,0.31,0.28,0.25,8.35,21.8,3,1.62,292.7,101.9,10.5,20
soil432,3,40,15.5,44.5,0.31,0.28,0.25,8.73,22.5,3.5,1.32,279.05,123.35,23.75,30
soil432,4,38,17,45,0.31,0.28,0.25,9.11,23.2,4,1.01,265.4,144.8,37,55
soil432,5,38,17,45,0.41,0.38,0.34,8.96,82.5,2.8,0.68,223.8,160,85.2,100
soil432,6,38,17,45,0.46,0.36,0.33,8.68,102.4,0.6,0.26,202.5,155.6,87,409
soil433,1,50.7,10.1,36.5,0.31,0.28,0.25,7.53,10.2,0.1,1.48,221.4,94.3,14.1,10
soil433,2,50.9,9.7,37.3,0.31,0.28,0.25,7.49,10.2,0.05,1.23,239.8,101.7,19,25
soil433,3,49.5,9,37.9,0.31,0.28,0.25,7.76,8,1.9,0.97,249.4,119.5,42.6,55
soil433,4,41.3,11.2,40.7,0.45,0.36,0.33,9.17,27.2,5.9,0.49,221.6,126.4,72.7,100
soil433,5,39.4,13.9,43.2,0.45,0.36,0.33,8.92,83.3,2.9,0.17,216,111.9,72,409
soil601,1,46,14,40,0.35,0.27,0.24,6.65,44.9,0.05,4.96,91.9,52.6,3.1,5
soil601,2,41.65,15.35,42.15,0.35,0.27,0.24,7.61,32.9,0.13,2.89,117.25,82.35,9.05,10
soil601,3,37.3,16.7,44.3,0.35,0.27,0.24,8.56,20.9,0.2,0.82,142.6,112.1,15,25
soil601,4,28.7,16.9,52.8,0.35,0.27,0.24,8.96,27.3,0.4,0.67,126.6,141.2,18.3,55
soil601,5,21.6,18.3,58,0.35,0.27,0.24,8.1,171.2,0.5,0.55,196,111.9,31.2,100
soil601,6,24.4,16.7,57.8,0.47,0.36,0.29,8.02,191.7,0.2,0.11,254.7,141.8,62.9,291
soil602,1,42,14,44,0.35,0.27,0.24,7.26,20.6,0.05,1.61,263.4,102.5,29.6,10
soil602,2,38,17,45,0.35,0.27,0.24,8.66,14.7,0.3,0.68,277.7,104.3,51,25
soil602,3,42,14,44,0.35,0.27,0.24,9.07,25.7,0.6,0.59,273.8,100.6,82,55
soil602,4,42,14,44,0.49,0.35,0.25,8.12,175.8,0.5,0.36,271.7,112.3,142.3,100
soil602,5,38,17,45,0.47,0.36,0.29,8.65,121.9,3.9,0.13,273.4,127.4,161.8,271
