soil,hor,sand,silt,clay,R25,G25,B25,pH,EC,CaCO3,C,Ca,Mg,Na,depth
soil27,3,29.1,21.8,46.7,0.35,0.27,0.24,9.3,27.6,1.2,0.67,216.1,103.5,63.2,55
soil27,4,26.2,20.7,51,0.45,0.36,0.33,9.04,60.5,0.9,0.56,195.1,117,81.9,100
soil27,5,22.2,17.4,58,0.49,0.35,0.25,8.37,161.2,1.4,0.22,212.5,142.2,90.4,250
soil28,1,37.4,15.3,45.2,0.34,0.28,0.23,7.87,20.2,0.2,1.09,234.6,88.7,10.3,9
soil28,2,36.3,15.4,46.3,0.35,0.27,0.24,8.91,19.1,0.9,0.58,262.2,111.8,20.7,25
soil28,3,32.8,15.8,49.4,0.35,0.27,0.24,9.21,26.5,1,0.53,238.8,126.8,59.5,55
soil28,4,27.8,16.8,53.4,0.47,0.36,0.29,9.35,52.5,1.3,0.31,195.7,150.8,118.6,100
soil28,5,18.1,12.8,66.6,0.46,0.36,0.33,8.8,133.2,1.9,0.08,242,184.5,160,264
soil29,1,26.7,20.5,51,0.35,0.27,0.24,9.05,19.7,0.5,0.71,248.6,114.3,32.7,10
soil29,2,26.4,20.2,51.2,0.35,0.27,0.24,9.28,22.3,1.2,0.55,241,135.4,52.4,25
soil29,3,25.5,21.1,50.7,0.35,0.27,0.24,9.36,33.3,1.7,0.53,218.5,151.4,91.2,55
soil29,4,18.4,23,55.4,0.46,0.36,0.33,9.33,59.9,2.3,0.41,157.8,145,143.7,100
soil29,5,31.1,22.8,43.3,0.51,0.34,0.27,9.31,81,2.3,0.09,141.9,140.2,139.4,263
soil30,1,42.4,15.6,39.9,0.35,0.27,0.24,8.44,19.8,0.6,0.84,236.2,130,6.6,10
soil30,2,40.5,15.1,42.4,0.35,0.27,0.24,8.83,16.5,0.7,0.71,220.1,139.4,13.1,25
soil30,3,20.5,14.4,62.2,0.35,0.27,0.24,9.2,23,1.6,0.69,258.2,214.3,53,55
soil30,4,18.6,14.5,63.7,0.35,0.27,0.24,9.29,53.3,2,0.57,206.4,219.3,119.5,100
soil30,5,15.3,15.4,66.6,0.35,0.27,0.24,9.17,84.4,1.5,0.5,181.3,247.3,163.2,275
soil31,1,26,17.8,52.7,0.35,0.27,0.24,8.13,36.1,1,1.42,315.6,159.8,14,10
soil31,2,33.4,16.7,46.3,0.35,0.27,0.24,9.01,20.4,2.3,0.72,264.1,179,26.2,25
soil31,3,34.9,16.4,44.4,0.35,0.27,0.24,9.3,29,3.3,0.55,211.9,196,48.6,50
soil31,4,28.9,18.2,46.8,0.35,0.27,0.24,9.6,66.4,5.1,0.47,69.9,243.8,128.2,100
soil31,5,29.5,17.7,44.7,0.37,0.27,0.21,9.62,77.3,7.6,0.12,52.6,226.7,136.9,288
soil32,1,26.4,19.5,50.5,0.35,0.27,0.24,8.18,19.3,0.6,1.73,252.3,153.6,6.1,10
soil32,2,25.1,18.8,51.4,0.35,0.27,0.24,8.72,17.2,2.7,1.12,242.9,176.4,12.6,25
soil32,3,24,18.8,50.5,0.35,0.27,0.24,9.18,24.8,5.3,0.74,164,227.3,41.2,55
soil32,4,21.8,20.5,50.5,0.36,0.27,0.24,9.56,43.9,6.1,0.57,72.3,261.5,96.4,100
soil32,5,46.5,16.1,33,0.51,0.34,0.27,9.6,53.2,3.9,0.2,40.3,178.4,85.4,285
soil33,1,90.1,2.2,6.2,0.36,0.27,0.24,6.29,9.4,0.05,0.88,24.3,3.5,0.3,10
soil33,2,89.3,2.8,6.9,0.4,0.26,0.19,5.26,4,0.05,0.57,7.3,1.4,0.05,25
soil33,3,91.1,2.8,5.7,0.51,0.34,0.27,5.79,1.7,0.05,0.22,8.5,3,0.1,40
soil33,4,65.35,3.75,30.45,0.55,0.32,0.24,6.57,6.55,0.08,0.21,46.05,25.25,7.2,70
soil33,5,39.6,4.7,55.2,0.55,0.32,0.24,7.35,11.4,0.1,0.19,83.6,47.5,14.3,80
soil33,6,61.8,3,34.9,0.55,0.32,0.24,8.35,16.2,0.05,0.14,71.1,48.4,15.7,280
soil34,1,61.6,8.3,25.5,0.36,0.27,0.24,6.56,36.7,0.05,2.61,111.4,29.2,0.4,10
soil34,2,69.2,8.2,20.6,0.35,0.27,0.24,7.54,9.5,0.05,1.17,90.5,33.7,0.9,25
soil34,3,52.1,6.4,40.4,0.48,0.36,0.24,8.39,8.7,0.05,0.63,86.9,109.8,16.2,55
soil34,4,55.2,6.7,37,0.48,0.36,0.24,8.81,31.7,0.5,0.26,74.2,105.9,27,100
soil34,5,52.7,5.6,38.2,0.48,0.36,0.24,8.96,48,3,0.18,62.3,119.5,34.1,260
soil35,1,35.6,22.4,38.4,0.23,0.2,0.18,6.74,13.9,0.05,2.07,189.9,93.6,2.7,10
soil35,2,29.6,19.6,48.4,0.26,0.19,0.17,6.75,8.5,0.05,1.39,233.6,124.9,4.8,25
soil35,3,27.7,20.5,49.7,0.26,0.19,0.17,7.8,6.5,0.05,1.22,218.2,132.6,8.8,55
soil35,4,40.2,18.2,38.5,0.37,0.27,0.21,8.56,17.8,2,0.58,203.8,122.4,9.5,100
soil35,5,32.1,29.7,34.7,0.37,0.27,0.21,8.69,18.2,3,0.27,207.9,147.1,12.8,303
soil36,1,47.6,11.7,38.6,0.41,0.38,0.34,7.8,14.6,0.05,1.22,208,85.9,11.4,10
soil36,2,48.7,11.7,38.5,0.41,0.38,0.34,8.36,7.9,0.05,0.61,204.2,94,14.7,25
soil36,3,54,11.1,33.9,0.41,0.38,0.34,9.09,9.3,0.2,0.44,174.2,86.1,21.3,55
soil36,4,55.5,12,29.6,0.41,0.38,0.34,9.73,27.4,2.5,0.2,97.4,91.3,50,100
soil36,5,50.1,12.5,34.5,0.41,0.38,0.34,9.77,36.8,2.4,0.21,79.6,106.8,66,284
soil37,1,38.8,18.4,41.6,0.41,0.38,0.34,8.61,21.6,0.2,0.55,189.7,87.7,12.7,10
soil37,2,38.9,18.7,41.2,0.41,0.38,0.34,8.92,15.5,0.3,0.5,178.6,84.5,14,25
soil37,3,32.2,21.3,45,0.31,0.28,0.25,9.27,20.5,0.8,0.39,167.2,106.6,28.9,55
soil37,4,29.3,18.2,50.8,0.41,0.38,0.34,9.36,39.6,1.1,0.26,147.4,129.2,68.8,100
soil37,5,30.2,17.7,50.6,0.55,0.46,0.36,8.72,116.2,0.7,0.19,117.1,137.9,93.2,570
soil38,1,24.7,13.3,60.2,0.44,0.37,0.31,7.48,9.3,0.05,1.05,184.9,157.4,20.3,10
soil38,2,24.3,13.7,60.8,0.41,0.38,0.34,8.14,8.2,0.05,0.67,196.6,157.8,30.5,25
soil38,3,24.7,14.3,59.9,0.41,0.38,0.34,8.64,15.1,0.05,0.6,207.6,143.9,49.3,50
soil38,4,20.5,14.8,62.6,0.35,0.27,0.24,7.83,192.8,0.6,0.44,209.6,148.9,79.9,100
soil38,5,20.9,14.3,62.1,0.49,0.35,0.25,7.79,319,1.3,0.14,206.5,145.2,75.9,278
soil39,1,46,19.8,32.4,0.34,0.28,0.23,7.14,23.8,0.1,0.94,103.1,75,18.2,4
soil39,2,40,22.6,35.95,0.34,0.28,0.23,7.68,17.9,0.08,0.77,136.7,84.05,26.55,10
soil39,3,34,25.4,39.5,0.34,0.28,0.23,8.21,12,0.05,0.6,170.3,93.1,34.9,25
soil39,4,27.4,27.8,43,0.31,0.28,0.25,8.98,47,0.7,0.54,173.8,103.9,61.4,55
soil39,5,24.2,21.6,52.7,0.34,0.28,0.23,8.5,87.8,0.8,0.2,195.3,127.2,78.9,100
soil39,6,18.9,17.7,61.4,0.35,0.27,0.19,8.65,94.8,1.6,0.04,216.6,142,97.4,278
soil40,1,39.8,19.4,39.5,0.31,0.28,0.25,7.41,13.7,0.05,0.73,161,108.5,20.3,10
soil40,2,34.8,20.8,43.1,0.31,0.28,0.25,8.31,20.8,0.2,0.62,201.7,107.2,35.3,25
soil40,3,28.9,22.9,46.2,0.34,0.28,0.23,8.83,51.8,0.8,0.57,216.7,117.9,56.7,55
soil40,4,23.4,19.7,55.7,0.35,0.27,0.24,8.25,121.6,0.5,0.15,221.8,151.1,83.3,100
soil40,5,22.5,16.3,58.3,0.35,0.27,0.19,8.77,91.3,2.4,0.07,236,148.6,89.2,268
soil41,1,59.9,15.5,22.9,0.44,0.37,0.31,6.75,10.8,0.05,0.98,59.1,54.3,11.7,3
soil41,2,49.85,18.4,30.35,0.41,0.38,0.34,7.66,11.05,0.05,0.81,105.65,78.6,20.75,10
soil41,3,39.8,21.3,37.8,0.31,0.28,0.25,8.56,11.3,0.05,0.63,152.2,102.9,29.8,25
soil41,4,35.5,22,41,0.31,0.28,0.25,8.94,44.7,0.6,0.44,163.5,116.2,50.3,55
soil41,5,29.9,17.8,50.6,0.35,0.27,0.19,8.23,128.3,1,0.15,203.2,138.2,67.5,100
soil41,6,25.8,15.6,56.8,0.35,0.27,0.19,8.99,66.8,1.3,0.13,216.1,158.3,83.1,268
soil42,1,40,17.2,40.4,0.44,0.37,0.31,7.62,9.8,0.1,1.33,141.3,108,10.1,6
soil42,2,30.3,18.4,49.8,0.41,0.38,0.34,7.61,9.3,0.05,0.84,203.2,133.7,19.8,25
soil42,3,29,19.3,50.2,0.34,0.28,0.23,8.39,15.6,0.2,0.75,204.7,123.9,33.6,55
soil42,4,26,17.9,54.9,0.45,0.36,0.33,8.27,79.3,0.5,0.22,200,141.5,58.3,100
soil42,5,25.3,15.2,58.5,0.6,0.44,0.35,8.8,57.9,0.6,0.08,223.4,148.6,67.1,266
soil43,1,43.1,16.6,38.9,0.44,0.37,0.31,7.34,13,0.05,0.77,238.8,83.7,12,7
soil43,2,36,19,43.9,0.34,0.28,0.23,8.05,8.7,0.05,0.61,242.9,121.6,23.3,25
soil43,3,31.1,20.5,47,0.31,0.28,0.25,8.78,15.5,0.4,0.54,318.2,133.4,38.3,55
soil43,4,29.2,19.3,49.4,0.34,0.28,0.23,8.86,57.4,1.3,0.32,286.8,133.5,73.9,100
soil43,5,20.8,19.3,58.6,0.45,0.36,0.33,8.88,88.9,0.8,0.08,330.5,165.2,90.5,287
soil44,1,28.1,22,47.7,0.35,0.27,0.24,6.77,16.2,0.1,1.2,204.3,97.2,14.4,10
soil44,2,27.1,22.6,48.7,0.35,0.27,0.24,8.43,15.5,0.2,0.78,218.7,119.4,28.2,25
soil44,3,26.3,23.1,48.4,0.35,0.27,0.24,9.2,29.8,1.1,0.56,202.7,112.8,61.9,55
soil44,4,21.2,22.4,54.9,0.46,0.36,0.33,8.96,57.5,0.9,0.23,212.9,129,86.1,100
soil44,5,22.7,16.7,58.9,0.6,0.44,0.35,8.96,63.9,1.4,0.06,227,145.7,89.3,260
soil45,1,33.4,24.7,39.9,0.34,0.28,0.23,7.57,17.6,0.1,1.06,175.2,72,14.2,10
soil45,2,30.9,25.1,42.7,0.35,0.27,0.24,8.82,16.5,0.3,0.58,212,89.3,27.4,25
soil45,3,25.4,25.8,47,0.35,0.27,0.24,9.35,23.2,0.9,0.45,195,95,53.2,40
soil45,4,23.05,24,51.3,0.45,0.36,0.33,8.95,59.9,0.9,0.31,199.75,105.45,71.35,70
soil45,5,20.7,22.2,55.6,0.45,0.36,0.33,8.54,96.6,0.9,0.16,204.5,115.9,89.5,100
soil45,6,17.3,19,62.7,0.49,0.35,0.25,8.94,70.2,0.6,0.08,229.4,129,102.5,260
soil46,1,48.1,12.2,35.3,0.36,0.27,0.24,8.76,18.3,3.1,0.75,213.5,117.5,12.6,10
soil46,2,36.6,13.5,40.9,0.36,0.27,0.24,9.15,20.7,8,0.52,190.9,157.7,24.2,25
soil46,3,36.6,14.9,38.9,0.37,0.27,0.21,9.41,31.4,8.7,0.45,121,180.3,52.6,55
soil46,4,36.4,22,38,0.37,0.27,0.21,9.63,54.6,3,0.22,49.8,216.7,100.1,100
soil46,5,46.1,16.1,33.2,0.37,0.27,0.21,9.33,94.3,4,0.12,54.4,153.7,80.3,260
soil47,1,29.9,14.8,51.4,0.31,0.28,0.25,8.08,20.2,0.2,2.12,310.6,125.4,7.9,8
soil47,2,26.2,16,55.5,0.34,0.28,0.23,8.77,9.5,0.1,1.25,317.1,150.3,14.1,25
soil47,3,22.2,17.5,56.9,0.34,0.28,0.23,9.17,19,1.3,1.18,296.2,189.2,37.9,55
soil47,4,22.4,18.5,55.2,0.49,0.35,0.25,9.57,33.7,2.3,0.89,201.5,215.1,93.8,100
soil47,5,23.2,22.5,51.4,0.49,0.35,0.25,9.34,59.6,2.1,0.33,153.1,202.4,93,260
soil48,1,36.3,14.1,45.3,0.35,0.27,0.24,8.16,30.6,1.4,1.66,320.3,111,16.1,10
soil48,2,34.8,14.7,46.7,0.35,0.27,0.24,9.17,18.9,1.8,1.12,277.9,123.7,33.1,25
soil48,3,29.7,15.6,49.6,0.35,0.27,0.24,9.37,34.7,3.4,0.92,200.1,178.7,86.5,55
soil48,4,27.5,17.8,51.6,0.46,0.36,0.33,9.17,93.7,2.3,0.27,131.4,196.2,145.7,100
soil48,5,24.6,19.1,52.1,0.47,0.36,0.29,8.95,131,3.5,0.11,138,190.2,128.9,260
soil49,1,32.7,15.5,48.4,0.26,0.19,0.17,8.14,33,0.2,1.83,272.1,119.6,18.3,10
soil49,2,30.5,16.4,49.5,0.26,0.19,0.17,8.9,25.1,1.6,1.13,286.3,136.8,32,25
soil49,3,28.8,18,49,0.26,0.19,0.17,9.34,41.1,2.5,0.91,252.2,158.2,98.3,55
soil49,4,26.5,18.6,51.7,0.26,0.19,0.17,8.88,149.9,1.4,0.74,203.5,155.7,163.3,100
soil49,5,22.3,19.7,53.7,0.37,0.27,0.21,9.01,141.3,3.5,0.14,183.6,165.7,155.7,260
soil50,1,18.4,13,64.9,0.23,0.2,0.18,7.87,45.2,0.7,1.69,470.5,173.6,8.4,8
soil50,2,17.4,13.3,66.6,0.23,0.2,0.18,8.72,18.6,1,0.96,427.9,189.3,16.8,25
soil50,3,14.4,15.1,67.6,0.23,0.2,0.18,8.92,19.3,1.3,0.88,379,199.3,30.9,55
soil50,4,15.4,13.9,67.9,0.23,0.2,0.18,9.1,25.3,1.2,0.91,348.7,249.3,63.8,100
soil50,5,14.8,14,68.2,0.39,0.26,0.18,9.15,30.2,1.7,0.67,299.4,243.2,78.8,260
soil51,1,83.8,5.2,8.5,0.45,0.36,0.26,4.83,10.1,0.05,1.44,8.9,1.5,0.1,10
soil51,2,86.2,5.3,7.5,0.45,0.36,0.26,4.62,3.5,0.05,0.57,0.05,0.05,0.05,25
soil51,3,86.6,6.5,6.6,0.65,0.56,0.45,5.14,1.7,0.05,0.2,1.5,0.3,0.1,40
soil51,4,67.05,7.8,24.9,0.45,0.23,0.15,6.72,7.1,0.05,0.16,17.9,34.3,10.45,70
soil51,5,47.5,9.1,43.2,0.45,0.23,0.15,8.29,12.5,0.05,0.11,34.3,68.3,20.8,100
soil51,6,42.4,15,42.2,0.58,0.45,0.33,8.76,26.2,0.2,0.06,34.2,81.6,27.9,260
soil52,1,83.6,3.3,8.8,0.35,0.27,0.24,4.71,12.9,0.05,2.52,2,2.3,0.05,10
soil52,2,85.4,3.5,8.5,0.35,0.27,0.24,4.5,6.7,0.05,1.5,0.05,0.05,0.05,25
soil52,3,86.2,3.4,9,0.36,0.27,0.24,5.19,2.2,0.05,0.8,0.05,0.05,0.05,55
soil52,4,87.6,5.5,6.6,0.86,0.77,0.72,5.67,2.3,0.05,0.19,0.05,1.6,2.1,80
soil52,5,77.15,4.45,18.15,0.65,0.42,0.29,5.37,11.8,0.05,0.15,0.05,13.45,10.45,120
soil52,6,66.7,3.4,29.7,0.65,0.42,0.29,5.07,21.3,0.05,0.1,0.05,25.3,18.8,260
soil53,1,19.6,20.1,55.2,0.26,0.19,0.17,6.9,29.5,0.05,2.96,266.5,98,0.6,10
soil53,2,19.2,20.2,57,0.26,0.19,0.17,7.42,14.7,0.05,2.07,262.5,96.2,1.7,25
soil53,3,20.1,15.7,62,0.26,0.19,0.17,8.16,11.1,0.1,1.19,371.7,133.3,2.8,55
soil53,5,20.4,12,63.4,0.35,0.27,0.24,8.82,17.1,2.6,0.93,303.6,217.3,9.1,100
soil53,6,20.7,12.2,64.9,0.35,0.27,0.24,8.96,30.7,1.1,0.55,197,272.3,48.3,238
soil54,1,17.4,13.9,66.6,0.51,0.47,0.44,8.5,18.9,0.4,0.94,249.6,162.3,20.3,10
soil54,2,16,13.9,67.9,0.51,0.47,0.44,8.79,24.2,0.9,0.7,254.1,174.5,35.4,25
soil54,3,15.6,13.4,68.8,0.51,0.47,0.44,9.01,35.9,1,0.62,235.7,189,71.5,55
soil54,4,12.8,14.3,70.5,0.41,0.38,0.34,9.22,56.5,1.5,0.38,193.1,192.9,97.5,100
soil54,5,10.9,15.2,72,0.41,0.38,0.34,9.16,77.2,1.2,0.27,161.8,208,116.8,260
soil55,1,17.4,16.1,65.2,0.44,0.37,0.31,8.26,18.6,0.05,0.72,218.3,159,25.2,10
soil55,2,15.5,19.3,64.1,0.41,0.38,0.34,8.72,16.1,0.1,0.57,221.5,182.6,35,25
soil55,3,17.9,16.7,64.2,0.41,0.38,0.34,9.16,24.8,0.4,0.44,194.8,176.2,69.9,55
soil55,4,14.8,17.3,66.6,0.41,0.38,0.34,9.03,50.6,0.5,0.38,172.2,186.6,99.8,100
soil55,5,12.8,18.8,66.9,0.51,0.47,0.44,8.95,71.2,0.8,0.25,167.5,176.8,97.2,260
soil56,1,14.3,17.8,65.9,0.51,0.47,0.44,8.08,12.7,0.2,1.04,251.1,143.7,22.8,10
soil56,2,18.5,17.4,63,0.41,0.38,0.34,8.52,13.7,0.05,0.61,251,135.8,36.5,25
soil56,3,18.7,17.8,62.5,0.41,0.38,0.34,8.63,18.8,0.05,0.56,226.1,124,58.4,55
soil56,4,19.4,16.9,62.8,0.41,0.38,0.34,8.77,44.2,0.05,0.44,222.1,127.3,90.5,100
soil56,5,11.7,16.4,65.9,0.49,0.35,0.25,8.23,172.7,5.1,0.17,217.4,147.8,123.4,358
soil57,1,26.5,23.2,48.1,0.41,0.38,0.34,7.72,11.6,0.1,1.23,173.4,105.4,18.8,10
soil57,2,32.8,20.9,45,0.44,0.37,0.31,8.19,9.5,0.1,0.66,200.7,112.8,27.5,25
soil57,3,29.5,22.7,46,0.44,0.37,0.31,9.23,24.4,0.7,0.62,210.3,100.8,45.2,55
soil57,4,21,19,58.5,0.6,0.44,0.35,8.43,129,0.8,0.15,232.6,136.2,108.8,100
soil57,5,19.2,14.3,63.9,0.6,0.44,0.35,8.81,107.1,2.1,0.08,263.4,124.2,111.5,260
soil58,1,58.3,14.4,24.7,0.34,0.28,0.23,6.82,10,0.05,1.48,53.2,44,9,5
soil58,2,47.3,18.1,32.7,0.34,0.28,0.23,7.6,12.05,0.08,1.06,102.2,65.1,20.9,10
soil58,3,36.3,21.8,40.7,0.31,0.28,0.25,8.38,14.1,0.1,0.63,151.2,86.2,32.8,25
soil58,4,26.4,23.2,48.5,0.31,0.28,0.25,9.18,55.4,0.9,0.47,182.2,108.5,53.5,55
soil58,5,32.3,18.1,48.2,0.44,0.37,0.31,8.52,105.4,0.7,0.18,188.2,114.4,65.9,100
soil58,6,25.5,17.4,56.3,0.45,0.36,0.33,8.9,83.7,0.4,0.05,204.8,118.7,75.4,360
soil59,1,31.2,20,46.4,0.23,0.2,0.18,7.18,15.7,0.1,1.29,335.6,226.7,3,8
soil59,2,28.9,20.1,49.2,0.31,0.28,0.25,8.61,10.2,0.7,0.61,326.9,232.4,5.8,25
soil59,3,26.3,19.5,51.8,0.31,0.28,0.25,8.87,15.1,1.4,0.56,331.4,278.1,13.5,55
soil59,4,24.8,20,52.5,0.35,0.27,0.24,9.14,18.8,1.9,0.45,301.2,296,35.3,100
soil59,5,20.2,20.9,53.1,0.44,0.37,0.31,9.31,29.6,5.3,0.25,263.5,292.4,49,160
soil60,1,26.3,21.5,49.2,0.35,0.27,0.24,7.22,19.7,0.05,1.7,231.6,99,14.7,10
soil60,2,30.4,19.7,48.2,0.35,0.27,0.24,8.86,2.3,0.4,0.74,244.9,104.5,33.6,25
soil60,3,30.4,20.1,47.6,0.35,0.27,0.24,9.11,35.4,0.7,0.65,244.1,97,74.5,55
soil60,4,27.2,19,51.6,0.46,0.36,0.33,7.81,286,0.5,0.34,230.2,100.3,100.3,100
soil60,5,25.3,15.2,56.7,0.46,0.36,0.33,8.94,95.2,2.3,0.09,242.3,117.8,108.1,260
soil61,1,35.3,15,47.6,0.45,0.36,0.33,8.14,26.7,0.2,1.08,265.1,111.2,23.5,10
soil61,2,36.1,14.4,47.8,0.35,0.27,0.24,9.24,20.4,0.6,0.58,285.2,115.9,43,25
soil61,3,33.8,15.4,48.8,0.35,0.27,0.24,9.36,28.4,1,0.51,257.5,131.7,67.2,55
soil61,4,25.5,16.9,55.5,0.35,0.27,0.24,9.15,62.9,1.1,0.43,248.1,148.9,96.3,100
soil61,5,20.8,20.7,56.8,0.47,0.36,0.29,9.13,79.2,1.2,0.11,233.4,149.5,116.4,260
soil62,1,40.2,11.9,44.3,0.31,0.28,0.25,6.46,27.8,0.05,2.08,167.5,88,6.6,10
soil62,2,33.9,14.2,49.9,0.31,0.28,0.25,7.25,15.1,0.1,1.06,222.4,74.8,9.4,25
soil62,3,33.9,15.3,49.3,0.31,0.28,0.25,8.74,11.3,0.3,0.71,265.4,109.1,19.3,55
soil62,4,30.8,15.3,52.3,0.35,0.27,0.24,9.07,16.5,0.5,0.61,248.3,110.1,41,100
soil62,5,24.9,15.8,58.4,0.39,0.26,0.18,8.88,24.9,0.3,0.31,263.1,111.1,50.2,260
soil63,1,53.6,12.2,31.1,0.31,0.28,0.25,7.71,15,0.05,1.8,203.1,40.4,3.3,10
soil63,2,49.4,12.7,36.1,0.35,0.27,0.24,8.46,8,0.05,1.07,234.9,48.5,5.7,25
soil63,3,46.1,14.5,37.2,0.35,0.27,0.24,9.1,14.2,0.8,0.8,240.1,61.5,16,55
soil63,4,34.1,15.9,46.7,0.35,0.27,0.24,9.41,25.1,1.8,0.83,264.4,76.4,55.8,100
soil63,5,34.8,16.8,45.3,0.45,0.36,0.33,8.86,54.9,2.7,0.1,227,73.5,56.7,285
soil64,1,59.8,8.3,28.4,0.26,0.19,0.17,7.52,21.3,0.2,1.91,218.2,57.4,3.3,10
soil64,2,56.5,8.7,33,0.26,0.19,0.17,8.49,13.9,0.5,0.75,223,58,6.2,25
soil64,3,55.2,10.1,32,0.23,0.2,0.18,9.08,17.5,1.7,0.54,195.6,69.4,18,55
soil64,4,44.6,10.8,41.2,0.23,0.2,0.18,8.97,51.9,2.2,0.59,227.5,109.6,59.2,100
soil64,5,34.1,14.1,50.3,0.55,0.46,0.36,8.18,134.4,0.6,0.25,233,125.3,60.8,190
soil65,1,48.1,15.2,32.7,0.25,0.19,0.16,6.41,13,0.2,2.23,164.3,43.1,1.5,10
soil65,2,47.8,14.8,35.2,0.25,0.19,0.16,7.46,6.1,0.05,1.28,202.1,47,3.8,25
soil65,3,38.2,14.1,45.6,0.23,0.2,0.18,8.47,6.1,0.2,1.11,264.3,83.7,16.1,55
soil65,5,29,16.5,51.7,0.23,0.2,0.18,8.49,36.9,0.4,1.32,261.6,110.7,37.9,100
soil65,6,39,13.7,46.3,0.45,0.36,0.26,8.09,66.9,0.3,0.28,204.7,99.5,36.6,170
soil66,1,27.4,20.5,49.6,0.25,0.19,0.16,7.16,15.1,0.05,1.46,292.6,95.4,10.9,5
soil66,2,28.15,20.25,49.35,0.25,0.19,0.16,7.71,11.65,0.05,1.31,287.15,105.4,14.1,10
soil66,3,28.9,20,49.1,0.25,0.19,0.16,8.25,8.2,0.05,1.16,281.7,115.4,17.3,25
soil66,4,26.4,21.5,49.8,0.25,0.19,0.16,8.72,17,0.2,1.18,313.9,107.3,30.4,55
soil66,5,24.2,22,51.4,0.35,0.27,0.24,8.99,32.9,0.9,0.82,270.8,121.5,59.8,100
soil66,6,27.7,22.1,49,0.35,0.27,0.19,8.68,48.5,0.6,0.26,234.5,95.4,49.1,260
soil67,1,84.6,3.6,10.2,0.35,0.27,0.24,7.18,8.6,0.05,0.93,23.6,9.4,0.2,10
soil67,2,80.4,4.1,13.8,0.35,0.27,0.24,6.75,12.2,0.05,0.99,40.6,12.4,0.1,25
soil67,3,84,4.3,11.1,0.49,0.35,0.25,7.24,6.2,0.05,0.33,27.3,9.2,0.05,55
soil67,4,52.2,2.3,44.9,0.57,0.31,0.14,7.03,7.8,0.05,0.33,87.3,30.7,2.3,100
soil67,5,47.6,2.6,49.2,0.45,0.23,0.15,7.41,16.8,0.05,0.32,136.1,51.4,2,260
soil68,1,82.6,2.8,6.2,0.45,0.36,0.33,5.76,9.9,0.05,4.93,7.6,1.6,0.5,10
soil68,2,87.6,2.9,5.3,0.55,0.46,0.42,5.72,5.4,0.1,2.38,6.6,0.5,0.05,25
soil68,3,91.8,4.8,3.1,0.76,0.67,0.55,6.8,2.4,0.05,0.17,4.3,0.05,0.05,40
soil68,4,64.05,4.35,31.3,0.76,0.67,0.55,7.35,3.1,0.05,0.16,48.5,50.08,4.03,70
soil68,5,36.3,3.9,59.5,0.64,0.43,0.27,7.9,3.8,0.05,0.14,92.7,100.1,8,100
soil68,6,53.3,6.8,39.8,0.45,0.23,0.15,8.4,7.3,0.05,0.06,48.9,58.4,8.9,260
soil69,1,18.5,24.7,53.7,0.35,0.27,0.24,7.75,6.4,0.05,1.78,251.5,157.7,4.4,10
soil69,2,19.3,25.3,52.9,0.35,0.27,0.24,7.94,5.5,0.1,1.4,269,167.8,6.3,25
soil69,3,19.2,25.5,53,0.35,0.27,0.24,8.51,7.3,0.1,1.26,268.1,182.8,13,55
soil69,4,24.5,26.1,44.1,0.47,0.36,0.29,9.02,19.7,4,0.75,210.6,208.8,27.2,100
soil69,5,24.7,29,41.8,0.47,0.36,0.29,8.82,27.5,3.8,0.35,202,219.8,25.1,260
soil70,1,45.4,22.3,27.8,0.36,0.27,0.24,6.03,26.7,0.05,2.56,134.7,43.7,0.05,10
soil70,2,51.7,20.3,25.6,0.36,0.27,0.24,6.45,9.9,0.05,1.39,128.2,34.2,0.05,25
soil70,3,45.3,23.5,29.6,0.37,0.27,0.21,6.95,3.8,0.05,0.96,157.7,44.8,0.05,55
soil70,4,40.4,19.6,39.1,0.37,0.27,0.21,7.08,2.5,0.05,0.5,231.6,119,2.1,100
soil70,5,43.9,22.5,33,0.37,0.27,0.21,7.43,2.9,0.05,0.36,246.3,130.5,4.7,130
soil71,1,31.9,13.4,52.5,0.34,0.28,0.23,8.49,19.6,0.3,1.09,246.9,101.5,9.3,10
soil71,2,31.3,13.2,52.9,0.34,0.28,0.23,8.92,20.6,1.1,0.83,244.3,113.9,15.3,35
soil71,3,28.7,14.2,54.1,0.44,0.37,0.31,9.34,25.6,1.9,0.62,224.7,146.3,41.9,55
soil71,4,28.5,14.5,54.7,0.44,0.37,0.31,9.48,41.3,1.2,0.54,168.3,157.7,86.3,100
soil71,5,26.2,16.3,55.6,0.35,0.27,0.19,9.48,50.2,1.2,0.32,116.4,145.6,84.2,260
soil72,1,36.1,10.9,50,0.41,0.38,0.34,8.83,20.4,1.7,0.72,230.2,131.3,17.3,10
soil72,2,37,11.2,49.2,0.41,0.38,0.34,8.95,19.9,1.4,0.67,231.9,124.7,17,25
soil72,3,31.2,11.3,53.9,0.41,0.38,0.34,9.23,27.6,2.6,0.5,226.5,156.1,40.7,55
soil72,4,28.2,11.5,55.8,0.41,0.38,0.34,9.33,55.7,3.7,0.32,146.8,178.7,89.8,100
soil72,5,21.3,13.9,59.9,0.44,0.37,0.31,9.23,69.7,4.1,0.31,157.7,175.6,95.8,260
soil73,1,25.9,12.3,60.6,0.41,0.38,0.34,8.44,10.4,0.05,0.68,268.4,190.6,12,10
