pantone,hex
203-u,#f5b1cc
204-u,#ee82a4
205-u,#e56284
206-u,#d84465
207-u,#af4c64
208-u,#905567
209-u,#825864
210-u,#ffa2cb
211-u,#fc85b6
212-u,#f56d9e
213-u,#e95485
214-u,#d1517a
215-u,#ae5171
216-u,#8a5566
7422-u,#fdd4da
7423-u,#e2758f
7424-u,#d9577d
7425-u,#bb5a73
7426-u,#b1556a
7427-u,#a5525c
7428-u,#805c67
7632-u,#ddcfd0
7633-u,#c9aaae
7634-u,#c77d92
7635-u,#cd627d
7636-u,#c3566d
7637-u,#955864
7638-u,#855660
217-u,#f4c1e1
218-u,#ef84b9
219-u,#e45c96
220-u,#b04c75
221-u,#9e4c6e
222-u,#82566b
7639-u,#a0858a
7640-u,#9b6673
7641-u,#9a5d6d
7642-u,#7e5867
7643-u,#7a5a67
7644-u,#715862
7645-u,#6c5760
223-u,#f9a4d8
224-u,#f587c7
225-u,#ea60a7
226-u,#dc4588
227-u,#af4879
228-u,#8d4d6d
229-u,#7a5466
230-u,#feb2e0
231-u,#f984ca
232-u,#f16ab7
233-u,#c84687
234-u,#aa4c7d
235-u,#914e72
670-u,#f3d6e5
671-u,#efc3dd
672-u,#e8a7cd
673-u,#df8cba
674-u,#cd72a1
675-u,#bd618e
676-u,#a85079
677-u,#edd2e0
678-u,#e5c0d4
679-u,#daacc6
680-u,#c08ba9
681-u,#a5708d
682-u,#905d78
683-u,#805268
684-u,#eccbd9
685-u,#e4bdd0
686-u,#d5a6be
687-u,#bd8ca6
688-u,#a2738c
689-u,#8e6178
690-u,#7c5060
510-u,#f2bfcb
509-u,#eaaebe
508-u,#df9cae
507-u,#cf8fa4
506-u,#9a6372
505-u,#8a5c66
504-u,#7f5d62
7429-u,#eeccd9
7430-u,#e6b5c9
7431-u,#dca2b9
7432-u,#c5819a
7433-u,#b96f89
7434-u,#a8677d
7435-u,#8c566b
691-u,#f1d3d5
692-u,#e9c0c5
693-u,#daa5ad
694-u,#c38d96
695-u,#ac7680
696-u,#98656c
697-u,#87565b
496-u,#f9c2cc
495-u,#f1afbc
494-u,#e59aa8
493-u,#c77c89
492-u,#9d5d60
491-u,#8e595a
490-u,#775554
503-u,#f2cdcf
502-u,#e6b7bd
501-u,#d8a5ac
500-u,#bd898f
499-u,#8d615f
498-u,#805d5b
497-u,#715956
5035-u,#e6c6c7
5025-u,#dcb6ba
5015-u,#caa1a6
5005-u,#b28a90
4995-u,#9f787f
4985-u,#8f6a6f
4975-u,#745654
236-u,#f8a6de
237-u,#f28dd2
238-u,#e971c0
239-u,#db55aa
240-u,#c15598
241-u,#af548b
242-u,#8d5977
2365-u,#f8bfe7
2375-u,#ea88d2
2385-u,#e06fc2
2395-u,#d557af
2405-u,#bb569d
2415-u,#ab5491
2425-u,#975381
243-u,#f1b2e6
244-u,#eb9ade
245-u,#e07fd0
246-u,#ce57b3
247-u,#bd51a2
248-u,#a14f8c
249-u,#885779
7646-u,#b08799
7647-u,#b16889
7648-u,#9e537b
7649-u,#935379
7650-u,#835573
7651-u,#7f5c78
7652-u,#73556c
250-u,#eebae9
251-u,#e096df
252-u,#ce70cc
253-u,#b456ae
254-u,#9e549a
255-u,#83577d
517-u,#f2c8e3
516-u,#e8b6dc
515-u,#e2a5d4
514-u,#ce89c3
513-u,#9e5f98
512-u,#8a587f
511-u,#745568
7436-u,#f3d5ed
7437-u,#d4b6d6
7438-u,#d79bd7
7439-u,#c09cc6
7440-u,#b796ba
7441-u,#ae7eca
7442-u,#9e62be
2562-u,#ddaee9
2572-u,#cd90de
2582-u,#bb76cf
2592-u,#aa60bf
2602-u,#9757a6
2612-u,#86578d
2622-u,#7b5b7a
7653-u,#9e95a0
7654-u,#aa8aa5
7655-u,#a978a0
7656-u,#96648d
7657-u,#7e5978
7658-u,#7c5e77
7659-u,#6e5a6b
524-u,#dac5dc
523-u,#d0b7d5
522-u,#bc9fc6
521-u,#a98bb5
520-u,#815f87
519-u,#775d7a
518-u,#6c5969
5245-u,#e0cfd6
5235-u,#d6c3cc
5225-u,#c2acb9
5215-u,#a28c9c
5205-u,#907b8a
5195-u,#816c78
5185-u,#756069
5175-u,#dac5d0
5165-u,#ccb4c4
5155-u,#b99eb2
5145-u,#a4899f
5135-u,#8c7287
5125-u,#7d6378
5115-u,#6f5564
531-u,#e4c7eb
530-u,#dbb9e8
529-u,#cea5e1
528-u,#b889d2
527-u,#9361b0
526-u,#805791
525-u,#735775
256-u,#d4b4da
257-u,#c29bcb
258-u,#a276ae
259-u,#94679c
260-u,#8a658d
261-u,#7f6282
262-u,#755e74
2563-u,#cda2d9
2573-u,#b989cb
2583-u,#a372b5
2593-u,#8e5da0
2603-u,#845991
2613-u,#7d5787
2623-u,#75557a
7660-u,#9c97a8
7661-u,#947f9d
7662-u,#84668c
7663-u,#7a5c83
7664-u,#765d84
7665-u,#725e7c
7666-u,#706977
2567-u,#c09fdb
2577-u,#a47ec6
2587-u,#936db7
2597-u,#825aa4
2607-u,#7a5896
2617-u,#735489
2627-u,#6e527c
263-u,#dcc6ea
264-u,#bfa1e3
265-u,#9d7ad2
266-u,#8a65c4
267-u,#7f5dae
268-u,#735990
269-u,#6e587f
2635-u,#c9b7e8
2645-u,#b9a3e3
2655-u,#a288d9
2665-u,#8c6fca
2685-u,#765ba7
2695-u,#6c5d80
270-u,#adaede
271-u,#9a9bd4
272-u,#8586c6
273-u,#645d9b
274-u,#5f578b
275-u,#5d5683
276-u,#5c556f
2705-u,#bab6e9
2715-u,#9f98df
2725-u,#8980d4
2735-u,#6857b2
2745-u,#61559a
2755-u,#5d538b
2765-u,#574f77
7667-u,#828ca8
7668-u,#7b81a4
7669-u,#7878a2
7670-u,#706e9a
7671-u,#6e6993
7672-u,#6b668e
7673-u,#6c6d8d
7443-u,#ddd8eb
7444-u,#bcbde2
7445-u,#aca8c7
7446-u,#9493cf
7447-u,#7f7392
7448-u,#726874
7449-u,#63515c
7674-u,#9296b8
7675-u,#888caf
7676-u,#827aa3
7677-u,#7c6d96
7678-u,#766691
7679-u,#6e628b
7680-u,#695981
663-u,#e2d9e3
664-u,#dacfdd
665-u,#c5b8ce
666-u,#aea1bc
667-u,#9083a1
668-u,#817391
669-u,#71637f
5315-u,#dbd8e1
5305-u,#c5c2d2
5295-u,#b1afc3
5285-u,#9694ac
5275-u,#7b7992
5265-u,#6d6b82
5255-u,#5d566c
538-u,#cdd7e1
537-u,#bdcada
536-u,#a4b5cb
535-u,#8c9db8
534-u,#5b6983
533-u,#5e6578
532-u,#5b5c64
7541-u,#dde4e6
7542-u,#b0c5cc
7543-u,#aeb8c0
7544-u,#9aa5af
7545-u,#78838e
7546-u,#67707a
7547-u,#51545d
552-u,#b0d0dc
551-u,#96c0ce
550-u,#7aaabe
549-u,#6899ae
548-u,#3e5e6f
547-u,#415866
546-u,#465058
5455-u,#c7d7e0
5445-u,#b4c7d3
5435-u,#9db4c4
5425-u,#7993a5
5415-u,#677f91
5405-u,#5b6f80
5395-u,#464c59
642-u,#d3e0ea
643-u,#bfd2e4
644-u,#9db9d5
645-u,#84a3c4
646-u,#6e8db0
647-u,#5f7a9d
648-u,#4e6282
649-u,#e1e7ee
650-u,#d7e0eb
651-u,#afc3dc
652-u,#89a2c4
653-u,#6780a4
654-u,#55688b
655-u,#4e5d7f
656-u,#e2eaf2
657-u,#d6e2f2
658-u,#b8cfee
659-u,#96b6e5
660-u,#658bcc
661-u,#4967aa
662-u,#425390
7450-u,#c3cbe0
7451-u,#94b3ea
7452-u,#91a0e4
7453-u,#88ade3
7454-u,#7599bb
7455-u,#6b7db9
7456-u,#8089c0
2706-u,#ccd4f1
2716-u,#a2afe9
2726-u,#717acf
2736-u,#5e60ba
2746-u,#595ca5
2756-u,#585c8c
2766-u,#575a7c
2708-u,#b2c9ef
2718-u,#6a87d8
2728-u,#5268c2
2738-u,#474da4
2748-u,#484f8c
2758-u,#484d7a
2768-u,#4a4e6d
2707-u,#c7dbf4
2717-u,#a9c8f4
2727-u,#6490e8
2747-u,#424f90
2757-u,#454f7e
2767-u,#4a4c64
277-u,#adcff1
278-u,#8dbaee
279-u,#5b8edb
280-u,#3c4981
281-u,#3f4a75
282-u,#434967
283-u,#9bc7ee
284-u,#7ab1e8
285-u,#4982cf
286-u,#3255a4
287-u,#3c5896
288-u,#3d5588
289-u,#434f69
7681-u,#9db0d0
7682-u,#8097bf
7683-u,#6982b0
7684-u,#6276a3
7685-u,#5e719d
7686-u,#556995
7687-u,#525f8d
545-u,#aecfe6
544-u,#97c1df
543-u,#79abd2
542-u,#699cc6
541-u,#3a557c
540-u,#3f526f
539-u,#465062
290-u,#a7d4ee
291-u,#7fbeeb
292-u,#62a8e5
293-u,#235ba8
294-u,#385988
295-u,#375172
296-u,#435060
2905-u,#8ac9ed
2915-u,#64b3e8
2925-u,#4097db
2935-u,#1b5faa
2945-u,#29588c
2955-u,#395775
2965-u,#3d5265
297-u,#7eccee
298-u,#4cb4e7
299-u,#1295d8
300-u,#006eb6
301-u,#28628e
302-u,#375e77
303-u,#3f5666
7688-u,#5e9aca
7689-u,#5693c1
7690-u,#4c7fa7
7691-u,#467198
7692-u,#4c6b8b
