Pedon,hzID,top,bottom,thickness,name,hue,value,chroma,sand,silt,clay,pH,C,N,BD,Sr87_Sr86,Al_ppm,Ca_ppm,Fe_ppm,K_ppm,Mg_ppm,Na_ppm,Ti_ppm,Zr_ppm,epsilon_Ti,tau_ca,tau_Na,tau_K,tau_Al,tau_Fe,tau_Mg,tau_P,tau_C
EU3,68,45,88,43,C1,10YR,4,6,0.492807425,0.290023202,0.217169374,4.76,0.38,0,1.497,,41080,3344,32390,17340,14500,498.1,4742,18.7,-0.366,0.65,-0.15,-0.13,0.01,-0.04,-0.11,0.52,-0.2
EU3,69,88,125,37,C2,10YR,3,4,0.804400978,0.0400978,0.155501222,5.28,0.37,0,1.659,,22710,820.8,20070,13540,10750,414.2,2712,10.3,,,,,,,,,
EU4,70,0,5,5,A,10YR,3,2,0.532520325,0.243902439,0.223577236,5.11,13.87,0.5,0.849,,18510,11000,13980,7568,8177,377,1833,7.4,1.972,1.68,0.05,0,-0.01,-0.02,0.01,0.48,4.78
EU4,71,5,18,13,E ,10YR,5,3,0.487471526,0.299316629,0.213211845,4,1.6,0.05,1.391,,28020,2202,21340,11050,10470,483.7,3202,10.7,0.038,0.2,0,-0.06,-0.08,-0.11,-0.09,0.21,0.45
EU4,72,18,38,20,Bw,10YR,4,6,0.557894737,0.168421053,0.273684211,4.54,1.83,0.05,1.423,,34430,1813,31510,13860,13020,405.8,3305,13.3,-0.017,0.14,-0.12,0.03,-0.03,0.03,-0.04,0.22,0.84
EU4,73,38,65,27,C,10YR,4,6,0.682469136,0.169382716,0.148148148,4.67,0.7,0.01,1.534,,33010,1315,27350,12080,12730,454.6,3013,12.0,,,,,,,,,
FL1,79,0,4,4,A,10YR,4,3,0.485647059,0.270588235,0.243764706,4.43,0.95,0.03,1.458,0.7210,26990,5404,22450,15600,12910,520.9,3366,14.4,-0.705,-0.25,-0.11,0.05,-0.13,0.24,-0.11,-0.21,-0.13
FL1,80,4,15,11,BC,10YR,4,6,0.45,0.38,0.17,4.48,0.98,0.05,1.376,0.7124,23400,20720,3900,5573,7786,328.1,631.3,10.6,0.666,0.18,0.76,0.95,0.97,0.56,0.69,0.34,1.31
FL1,81,15,60,45,C,7.5YR,5,4,0.465525672,0.256723716,0.277750611,4.65,0.54,0.03,1.493,0.7119,15490,25560,3414,3744,6179,248.4,970.1,9.4,,,,,,,,,
FL2,82,0,5,5,A,10YR,3,3,0.350738916,0.344827586,0.304433498,4.61,5.12,0.15,1.138,,22230,19390,4442,5584,7995,409,1200,7.7,2.354,0.26,0.02,0.05,0.1,-0.03,0.05,0.77,2.09
FL2,83,5,22,17,E,10YR,5,3,0.561965812,0.202991453,0.235042735,4.34,1.12,0.02,1.479,,43720,18220,26660,9118,17270,1320,2852,14.8,0.086,0.2,0.19,0.04,0.23,0.1,0.13,-0.02,0.43
FL2,84,22,31,9,Bt,10YR,3,4,0.376391982,0.222717149,0.400890869,4.84,0.7,0.05,1.442,,44680,14280,33070,12130,16090,920.2,3735,23.4,-0.15,0.01,-0.01,0.02,0.06,0.04,0.01,-0.02,0.04
FL2,85,31,68,37,BC,10YR,5,6,0.412875536,0.25751073,0.329613734,4.9,0.6,0,1.469,,24460,9662,20740,8262,11830,825.8,2899,14.3,0.075,-0.04,0.04,0.02,0.03,0.03,0.02,-0.08,0.23
FL2,86,68,90,22,C,10YR,4,6,0.591529412,0.141176471,0.267294118,5.22,0.42,0.03,1.579,,23270,10370,19530,8055,11530,763.5,2902,12.6,,,,,,,,,
FL3,87,0,8,8,A,10YR,3,3,0.388333333,0.333333333,0.278333333,4.48,1.59,0.03,1.342,,31590,5823,26780,16970,13560,533.4,3313,15.7,0.436,-0.07,-0.06,0.14,0,0.02,-0.01,0.27,0.51
FL3,88,8,18,10,E,10YR,5,2,0.389339019,0.312153518,0.298507463,4.55,1.76,0.08,1.347,,26640,3800,24650,15300,13080,467.5,3179,15.0,0.491,-0.1,-0.08,0.15,-0.02,0.01,-0.01,0.33,0.75
FL3,89,18,46,28,Bt,10YR,5,6,0.4,0.258848614,0.341151386,4.57,0.64,0.03,1.448,,30700,2887,27240,10780,13260,402.3,3220,14.7,0.37,-0.31,-0.25,0.18,-0.01,0.08,-0.02,1.1,0.51
FL3,90,46,74,28,BC,10YR,4,6,0.473891626,0.221674877,0.304433498,4.96,0.54,0,1.502,,24530,2125,21240,9795,11350,435.5,3115,10.9,0.365,-0.33,-0.23,0.15,-0.07,-0.01,-0.06,0.58,0.4
FL3,91,74,100,26,C,10YR,3,4,0.609359606,0.160098522,0.230541872,5.27,0.34,0.02,1.586,,39360,20860,28270,9133,17440,1500,4025,13.5,,,,,,,,,
FL4,92,0,14,14,AE,10YR,4,2,0.367741935,0.302419355,0.32983871,4.48,1.64,0.05,1.339,,27180,15280,23960,9093,12940,1081,3286,17.2,-0.002,-0.03,-0.02,0,0,-0.01,-0.02,0.26,0.8
FL4,93,14,37,23,EB,10YR,4,6,0.394250513,0.379876797,0.22587269,5.66,0.74,0.04,1.403,,36130,17030,29120,7576,14480,974.6,3215,20.1,-0.027,-0.03,-0.04,-0.02,0.06,0.02,0,1.21,0.51
FL4,94,37,76,39,Bw,2.5Y,5,4,0.476518219,0.273279352,0.250202429,5.25,0.2,0,1.512,,33470,21220,29860,9243,15270,1314,3752,25.0,-0.226,-0.04,-0.02,-0.02,0.02,-0.01,-0.03,0.39,-0.04
FL4,95,76,125,49,BC,2.5Y,5,4,0.392229039,0.31,0.3,4.58,0.25,0.02,1.459,,30190,22650,28490,7997,14810,1180,3260,27.6,-0.077,0.03,-0.02,-0.03,0.04,0.02,0,0.33,0.1
FL4,96,125,175,25,C,10YR,4,4,0.429059829,0.3,0.27,5.28,0.18,0,1.495,,24890,19160,24280,7816,13480,1122,2937,19.0,,,,,,,,,
FU1,101,0,10,10,BA,10YR,4,4,0.335148515,0.334158416,0.330693069,4.78,7.48,1.58,1.029,0.7206,27090,3871,20270,9064,10240,566.6,2884,10.8,1.338,0,0.12,0.1,0,-0.01,0.07,0.34,2.49
FU1,102,10,61,51,Bw,10YR,4,6,0.697058824,0.098039216,0.204901961,4.53,1.09,0.35,1.564,0.7176,28855,1000,22893,5053,6798,279.6,3000,5.6,0.478,0.01,0.14,0.04,0.01,0.13,0.5,-0.02,1.29
FU1,103,61,90,29,BC,10YR,4,6,0.648039216,0.171568627,0.180392157,4.8,0.87,0.02,1.519,0.7180,37940,751.1,30180,7252,9126,438.4,3592,10.7,0.271,0.04,0.1,0.06,0.04,0.04,0.05,0.36,0.38
FU1,104,90,100,20,C,7.5YR,4,4,0.580751174,0.269953052,0.149295775,4.9,0.51,0.06,1.505,0.7239,43990,744.8,34950,7748,10200,426.7,4609,15.4,,,,,,,,,
FU2,105,0,5,5,A,10YR,3,2,0.248590022,0.382646421,0.368763557,4.12,7.91,0.67,0.965,,34670,3297,22040,6636,8110,418.2,3172,8.7,1.377,0.08,0.02,0.02,0,-0.01,-0.01,0.03,3.89
