Pedon,hzID,top,bottom,thickness,name,hue,value,chroma,sand,silt,clay,pH,C,N,BD,Sr87_Sr86,Al_ppm,Ca_ppm,Fe_ppm,K_ppm,Mg_ppm,Na_ppm,Ti_ppm,Zr_ppm,epsilon_Ti,tau_ca,tau_Na,tau_K,tau_Al,tau_Fe,tau_Mg,tau_P,tau_C
BL3,13,122,140,18,C,10YR,5,8,0.58677686,0.185950413,0.227272727,5.52,0.16,0,1.558,0.7156,45250,9320,40420,8647,12790,611.6,5325,17.6,,,,,,,,,
BL4,14,0,13,13,A,7.5YR,3,3,0.327419355,0.342741935,0.32983871,4.25,1.38,0.02,1.348,0.7191,32630,4665,32890,3910,9037,583,4100,20.8,0.055,-0.11,-0.08,-0.04,-0.01,-0.05,-0.05,-0.04,0.51
BL4,15,13,24,11,Bw,7.5YR,4,3,0.347131148,0.317622951,0.335245902,5.72,0.64,0.04,1.419,0.7161,36570,6438,38090,4199,10820,618.9,4040,19.3,0.018,-0.07,-0.06,-0.02,0.02,-0.02,-0.02,0.01,0.11
BL4,16,24,67,43,C1,10YR,4,4,0.546373626,0.167912088,0.285714286,5.13,0.78,0,1.536,0.7171,37830,7090,39250,4258,11090,679.2,4224,15.9,-0.101,-0.24,-0.21,-0.11,0.05,-0.08,-0.08,0.08,0.64
BL4,17,67,95,28,C2,7.5YR,4,6,0.641322314,0.123966942,0.234710744,5.1,0.34,0,1.596,0.7236,30200,9782,38980,4441,10990,867,3656,16.2,,,,,,,,,
BU1,22,0,5,5,A,10YR,3,3,0.508009153,0.194508009,0.297482838,4.6,31.21,0.76,0.546,0.7143,14590,6935,12720,2828,5892,171.4,1388,19.6,3.182,4.94,-0.02,-0.16,0.03,-0.03,0.09,1.33,32.55
BU1,23,5,10,5,BC,10YR,4,6,0.569672131,0.218032787,0.212295082,5.39,0.43,0,1.53,0.7175,22650,878.1,18850,4308,6517,226.7,1290,14.8,0.605,0.24,0.19,0.06,0.38,0.26,0.21,0.3,-0.01
BU1,24,10,50,40,C,10YR,4,4,0.677419355,0.164764268,0.157816377,4.65,0.69,0,1.563,0.7151,20270,930.7,19690,6065,7285,259.4,2028,25.0,,,,,,,,,
BU2,25,0,8,8,A,10YR,3,3,0.494382022,0.250337079,0.255280899,4.75,5.7,0.16,1.154,,28880,4019,24130,5298,9664,280.7,2890,8.8,0.44,0.19,0.15,-0.04,-0.04,-0.05,-0.03,1.01,5.22
BU2,26,8,35,27,E,10YR,5,4,0.456275304,0.313765182,0.229959514,4.73,0.35,0,1.49,,27730,2093,26420,5305,10020,257.8,3312,17.0,-0.027,0.06,0.32,-0.16,-0.2,-0.18,-0.13,2.16,0.55
BU2,27,35,65,30,Bw,10YR,4,6,0.484232365,0.217842324,0.297925311,4.79,0.29,0,1.534,,34440,2194,30360,5488,11750,193.9,2424,13.6,0.291,0.29,0.37,-0.06,-0.05,-0.06,0.04,1.76,0.76
BU2,28,65,110,45,C,10YR,3,4,0.577130045,0.19058296,0.232286996,4.98,0.14,0,1.557,,48420,1707,44100,8002,13710,136.5,3084,10.2,,,,,,,,,
BU3,29,0,4,4,A,10YR,3,3,0.382178218,0.264026403,0.35379538,4.61,8.71,0.25,0.998,,30510,6792,26880,5368,10180,321.7,3309,4.3,0.083,0.04,0.01,-0.03,-0.03,-0.02,-0.02,0.03,2.36
BU3,30,4,17,13,EB,10YR,4,6,0.439918534,0.274949084,0.285132383,5.11,1.1,0.04,1.438,,46490,4406,35300,5783,11740,292.8,3027,15.8,-0.178,0.02,0.02,-0.06,0.01,-0.01,-0.04,0.33,0.87
BU3,31,17,58,41,Bw,10YR,4,6,0.503292181,0.14691358,0.349794239,5.06,0.4,0.01,1.552,,46160,4279,34440,5717,11900,291.9,2890,3.7,-0.202,0.09,0.08,-0.18,0.06,-0.02,-0.08,0.52,0.6
BU3,32,58,85,27,C,10YR,4,4,0.491701245,0.142323651,0.365975104,5.44,0.17,0,1.574,,33690,3001,27970,5959,10640,204.5,2274,12.0,,,,,,,,,
BU4,33,0,8,8,A,10YR,3,4,0.397029703,0.297029703,0.305940594,5.1,3.82,0.14,1.232,,37650,3851,31880,5141,11130,324.6,3679,9.3,0.451,0,0.01,-0.03,-0.01,-0.01,0,0,1.86
BU4,34,8,70,62,Bw,10YR,4,6,0.69486653,0.161396304,0.143737166,5.02,0.24,0,1.586,,44420,3257,37340,6708,12160,293.6,4052,6.0,0.023,-0.1,-0.02,-0.22,-0.08,-0.05,-0.03,-0.11,0.34
BU4,35,70,120,50,C1,10YR,4,6,0.585020243,0.205263158,0.209716599,4.72,0.19,0,1.542,,69570,3287,51300,12740,14890,402.2,4831,18.1,-0.117,-0.13,0.04,-0.03,0.05,0.02,-0.01,-0.1,0.04
BU4,36,120,200,80,C2,10YR,3,4,0.472244898,0.255102041,0.272653061,5.22,0.19,0,1.575,,53600,4171,42320,11980,13250,316,4175,15.4,,,,,,,,,
