"munsell","traditional_name"
"5R 4/1","dark reddish gray"
"5R 5/1","reddish gray"
"5R 6/1","reddish gray"
"5R 7/1","pinkish gray"
"5R 8/1","white"
"5R 2.5/2","very dusky red"
"5R 2/2","very dusky red"
"5R 3/2","dusky red"
"5R 4/2","weak red"
"5R 5/2","weak red"
"5R 6/2","pale red"
"5R 7/2","pale red"
"5R 8/2","light pink"
"5R 2.5/3","very dusky red" 
"5R 2/3","very dusky red"
"5R 3/3","dusky red"
"5R 4/3","weak red"
"5R 5/3","weak red"
"5R 6/3","pale red"
"5R 7/3","pale red"
"5R 8/3","light pink"
"5R 2.5/4","very dusky red"
"5R 2/4","very dusky red"
"5R 3/4","dusky red"
"5R 4/4","weak red"
"5R 5/4","weak red"
"5R 6/4","pale red"
"5R 7/4","pale red"
"5R 8/4","light pink"
"5R 2.5/6","dark red"
"5R 2/6","dark red"
"5R 3/6","dark red"
"5R 4/6","red"
"5R 5/6","red"
"5R 6/6","light red"
"5R 7/6","light red"
"5R 3/8","dark red"
"5R 4/8","red"
"5R 5/8","red"
"5R 6/8","light red"
"5R 7/8","light red"
"2.5YR 2.5/1","reddish black" 
"2.5YR 2/1","reddish black"
"2.5YR 3/1","dark reddish gray" 
"2.5YR 4/1","dark reddish gray" 
"2.5YR 5/1","reddish gray" 
"2.5YR 6/1","reddish gray" 
"2.5YR 7/1","light reddish gray" 
"2.5YR 8/1","white" 
"2.5YR 2.5/2","very dusky red" 
"2.5YR 2/2","very dusky red"
"2.5YR 3/2","dusky red" 
"2.5YR 4/2","weak red" 
"2.5YR 5/2","weak red"
"2.5YR 6/2","pale red" 
"2.5YR 7/2","pale red" 
"2.5YR 8/2","pinkish white" 
"2.5YR 2.5/3","dark reddish brown" 
"2.5YR 2/3","dark reddish brown"
"2.5YR 3/3","dark reddish brown" 
"2.5YR 4/3","reddish brown" 
"2.5YR 5/3","reddish brown" 
"2.5YR 6/3","light reddish brown" 
"2.5YR 7/3","light reddish brown" 
"2.5YR 8/3","pink" 
"2.5YR 2.5/4","dark reddish brown" 
"2.5YR 2/4","dark reddish brown"
"2.5YR 3/4","dark reddish brown" 
"2.5YR 4/4","reddish brown" 
"2.5YR 5/4","reddish brown" 
"2.5YR 6/4","light reddish brown" 
"2.5YR 7/4","light reddish brown" 
"2.5YR 8/4","pink" 
"2.5YR 3/6","dark red" 
"2.5YR 4/6","red" 
"2.5YR 5/6","red" 
"2.5YR 4/8","red" 
"2.5YR 5/8","red" 
"2.5YR 6/6","light red" 
"2.5YR 7/6","light red" 
"2.5YR 6/8","light red" 
"2.5YR 7/8","light red" 
"5YR 2.5/1","black"
"5YR 2/1","black"
"5YR 3/1","very dark gray"
"5YR 4/1","dark gray"
"5YR 5/1","gray"
"5YR 6/1","gray"
"5YR 7/1","light gray"
"5YR 8/1","white"
"5YR 2.5/2","dark reddish brown"
"5YR 2/2","dark reddish brown"
"5YR 3/2","dark reddish brown"
"5YR 4/2","dark reddish gray"
"5YR 5/2","reddish gray"
"5YR 6/2","pinkish gray"
"5YR 7/2","pinkish gray"
"5YR 8/2","pinkish white"
"5YR 3/3","dark reddish brown"
"5YR 3/4","dark reddish brown"
"5YR 4/3","reddish brown"
"5YR 5/3","reddish brown"
"5YR 4/4","reddish brown"
"5YR 5/4","reddish brown"
"5YR 6/3","light reddish brown"
"5YR 6/4","light reddish brown"
"5YR 7/3","pink"
"5YR 7/4","pink"
"5YR 8/4","pink"
"5YR 8/3","pink"
"5YR 4/6","yellowish red"
"5YR 5/6","yellowish red"
"5YR 5/8","yellowish red"
"5YR 6/6","reddish yellow"
"5YR 6/8","reddish yellow"
"5YR 7/6","reddish yellow"
"5YR 7/8","reddish yellow"
"7.5YR 2.5/1","black"
"7.5YR 2/1","black"
"7.5YR 3/1","very dark gray"
"7.5YR 4/1","dark gray"
"7.5YR 5/1","gray"
"7.5YR 6/1","gray"
"7.5YR 7/1","light gray"
"7.5YR 8/1","white"
"7.5YR 8.5/1","white"
"7.5YR 9/1","white"
"7.5YR 9.5/1","white"
"7.5YR 2.5/2","very dark brown"
"7.5YR 2/2","very dark brown"
"7.5YR 3/2","dark brown"
"7.5YR 4/2","brown"
"7.5YR 5/2","brown"
"7.5YR 6/2","pinkish gray"
"7.5YR 7/2","pinkish gray"
"7.5YR 8/2","pinkish white"
"7.5YR 8.5/2","pinkish white"
"7.5YR 9/2","pale pinkish white"
"7.5YR 9.5/2","pale pinkish white"
"7.5YR 2.5/3","very dark brown"
"7.5YR 2/3","very dark brown"
"7.5YR 3/3","dark brown"
"7.5YR 3/4","dark brown"
"7.5YR 4/3","brown"
"7.5YR 5/3","brown"
"7.5YR 4/4","brown"
"7.5YR 5/4","brown"
"7.5YR 6/3","light brown"
"7.5YR 6/4","light brown"
"7.5YR 7/3","pink"
"7.5YR 8/3","pink"
"7.5YR 7/4","pink"
"7.5YR 8/4","pink"
"7.5YR 4/6","strong brown"
"7.5YR 5/6","strong brown"
"7.5YR 5/8","strong brown"
"7.5YR 6/6","reddish yellow"
"7.5YR 7/6","reddish yellow"
"7.5YR 8/6","reddish yellow"
"7.5YR 6/8","reddish yellow"
"7.5YR 7/8","reddish yellow"
"10YR 2/1","black"
"10YR 3/1","very dark gray"
"10YR 4/1","dark gray"
"10YR 5/1","gray"
"10YR 6/1","gray"
"10YR 7/1","light gray"
"10YR 8/1","white"
"10YR 8.5/1","white"
"10YR 9/1","white"
"10YR 9.5/1","white"
"10YR 2/2","very dark brown"
"10YR 3/2","very dark grayish brown"
"10YR 4/2","dark grayish brown"
"10YR 5/2","grayish brown"
"10YR 6/2","light brownish gray"
"10YR 7/2","light gray"
"10YR 8/2","very pale brown"
"10YR 8.5/2","very pale brown"
"10YR 9/2","pale orange yellow"
"10YR 9.5/2","pale orange yellow"
"10YR 3/3","dark brown"
"10YR 4/3","brown"
"10YR 5/3","brown"
"10YR 6/3","pale brown"
"10YR 7/3","very pale brown"
"10YR 8/3","very pale brown"
"10YR 7/4","very pale brown"
"10YR 8/4","very pale brown"
"10YR 3/4","dark yellowish brown"
"10YR 4/4","dark yellowish brown"
"10YR 3/6","dark yellowish brown"
"10YR 4/6","dark yellowish brown"
"10YR 5/4","yellowish brown"
"10YR 5/6","yellowish brown"
"10YR 5/8","yellowish brown"
"10YR 6/4","light yellowish brown"
"10YR 6/6","brownish yellow"
"10YR 6/8","brownish yellow"
"10YR 7/6","yellow"
"10YR 8/6","yellow"
"10YR 7/8","yellow"
"10YR 8/8","yellow"
"2.5Y 2.5/1","black"
"2.5Y 2/1","black"
"2.5Y 3/1","very dark gray"
"2.5Y 4/1","dark gray"
"2.5Y 5/1","gray"
"2.5Y 6/1","gray"
"2.5Y 7/1","light gray"
"2.5Y 8/1","white"
"2.5Y 8.5/1","white"
"2.5Y 9/1","white"
"2.5Y 9.5/1","white"
"2.5Y 3/2","very dark grayish brown"
"2.5Y 4/2","dark grayish brown"
"2.5Y 5/2","grayish brown"
"2.5Y 6/2","light brownish gray"
"2.5Y 7/2","light gray"
"2.5Y 8/2","pale yellow"
"2.5Y 8.5/2","pale yellow"
"2.5Y 9/2","very pale yellow"
"2.5Y 9.5/2","very pale yellow"
"2.5Y 3/3","dark olive brown"
"2.5Y 4/3","olive brown"
"2.5Y 4/4","olive brown"
"2.5Y 5/3","light olive brown"
"2.5Y 5/4","light olive brown"
"2.5Y 5/6","light olive brown"
"2.5Y 6/3","light yellowish brown"
"2.5Y 6/4","light yellowish brown"
"2.5Y 7/3","pale yellow"
"2.5Y 8/3","pale yellow"
"2.5Y 7/4","pale yellow"
"2.5Y 8/4","pale yellow"
"2.5Y 6/6","olive yellow"
"2.5Y 6/8","olive yellow"
"2.5Y 7/6","yellow"
"2.5Y 7/8","yellow"
"2.5Y 8/6","yellow"
"2.5Y 8/8","yellow"
"5Y 2.5/1","black"
"5Y 2/1","black"
"5Y 2.5/2","black"
"5Y 2/2","black"
"5Y 3/1","very dark gray"
"5Y 4/1","dark gray"
"5Y 5/1","gray"
"5Y 6/1","gray"
"5Y 7/1","light gray"
"5Y 8/1","white"
"5Y 3/2","dark olive gray"
"5Y 4/2","olive gray"
"5Y 5/2","olive gray"
"5Y 6/2","light olive gray"
"5Y 7/2","light gray"
"5Y 8/2","pale yellow"
"5Y 4/3","olive"
"5Y 4/4","olive"
"5Y 5/3","olive"
"5Y 5/4","olive"
"5Y 5/6","olive"
"5Y 6/3","pale olive"
"5Y 6/4","pale olive"
"5Y 7/3","pale yellow"
"5Y 8/3","pale yellow"
"5Y 8/4","pale yellow"
"5Y 7/4","pale yellow"
"5Y 6/6","olive yellow"
"5Y 6/8","olive yellow"
"5Y 7/6","yellow"
"5Y 7/8","yellow"
"5Y 8/6","yellow"
"5Y 8/8","yellow"
